query,Execution Time [ms]
1.0,94477.052
1.0,93599.58
1.0,96409.076
1.0,94299.613
1.0,92466.738
10.0,23042.677
10.0,21091.143
10.0,21053.999
10.0,21037.206
10.0,20937.973
14.0,3619.928
14.0,3716.594
14.0,3587.86
14.0,3628.719
14.0,3707.317
